network,n_train,seed,p_h_fit,method,kl_test,latent_recov,n_confounded,fit_time_sec
mediator-9x2,500,0,0,obs_only_dagma,0.6692501712685583,nan,6,2.1700246334075928
mediator-9x2,500,0,0,latent_random,0.07015391462674181,nan,6,2.545051097869873
mediator-9x2,500,0,0,latent_warmstart,0.07015391462674181,nan,6,2.51824951171875
mediator-9x2,500,0,1,latent_random,0.07506972834319292,nan,6,2.578105926513672
mediator-9x2,500,0,1,latent_warmstart,0.10360978573603852,nan,6,2.575920343399048
mediator-9x2,500,0,2,latent_random,0.07090180440883564,1,6,2.624640703201294
mediator-9x2,500,0,2,latent_warmstart,0.12950073650968363,6,6,2.6371235847473145
mediator-9x2,500,0,3,latent_random,0.06415213296579658,1,6,2.7599618434906006
mediator-9x2,500,0,3,latent_warmstart,0.10067064165234108,6,6,2.608506441116333
mediator-9x2,500,0,4,latent_random,0.06492579678083565,3,6,2.6620144844055176
mediator-9x2,500,0,4,latent_warmstart,0.07527277100347085,6,6,2.6791799068450928
mediator-9x2,500,1,0,obs_only_dagma,0.4211012859186809,nan,6,1.0124099254608154
mediator-9x2,500,1,0,latent_random,0.07353339513925583,nan,6,2.648313522338867
mediator-9x2,500,1,0,latent_warmstart,0.07353339513925583,nan,6,2.7023327350616455
mediator-9x2,500,1,1,latent_random,0.07078262418506043,nan,6,2.650007486343384
mediator-9x2,500,1,1,latent_warmstart,0.09122164015480116,nan,6,2.701014518737793
mediator-9x2,500,1,2,latent_random,0.07347761149492094,2,6,2.930372714996338
mediator-9x2,500,1,2,latent_warmstart,0.11369916483424625,6,6,2.670696973800659
mediator-9x2,500,1,3,latent_random,0.07418808570688817,0,6,2.6615498065948486
mediator-9x2,500,1,3,latent_warmstart,0.10392889728992571,6,6,2.6177728176116943
mediator-9x2,500,1,4,latent_random,0.0755807402164006,4,6,2.59995698928833
mediator-9x2,500,1,4,latent_warmstart,0.12560294380231163,6,6,2.678009510040283
mediator-9x2,500,2,0,obs_only_dagma,0.5238457951031137,nan,6,1.0462555885314941
mediator-9x2,500,2,0,latent_random,0.07383254993491128,nan,6,2.641291618347168
mediator-9x2,500,2,0,latent_warmstart,0.07383254993491128,nan,6,2.6301400661468506
mediator-9x2,500,2,1,latent_random,0.07408941913242906,nan,6,2.7021048069000244
mediator-9x2,500,2,1,latent_warmstart,0.1284386065052665,nan,6,2.722228527069092
mediator-9x2,500,2,2,latent_random,0.06835534310439684,4,6,2.7164835929870605
mediator-9x2,500,2,2,latent_warmstart,0.11162936553935587,6,6,2.7030739784240723
mediator-9x2,500,2,3,latent_random,0.10435553056465352,3,6,2.645083427429199
mediator-9x2,500,2,3,latent_warmstart,0.11427909453086116,6,6,2.669556140899658
mediator-9x2,500,2,4,latent_random,0.07025704868161498,1,6,2.724562168121338
mediator-9x2,500,2,4,latent_warmstart,0.09809595310294306,6,6,2.6423604488372803
mediator-9x2,500,3,0,obs_only_dagma,0.46633030655764074,nan,6,1.0535597801208496
mediator-9x2,500,3,0,latent_random,0.04607835671952998,nan,6,2.669421911239624
mediator-9x2,500,3,0,latent_warmstart,0.04607835671952998,nan,6,2.7353978157043457
mediator-9x2,500,3,1,latent_random,0.04616179804465226,nan,6,2.6614768505096436
mediator-9x2,500,3,1,latent_warmstart,0.0837935407153072,nan,6,2.6411116123199463
mediator-9x2,500,3,2,latent_random,0.061925435036984666,4,6,2.668365955352783
mediator-9x2,500,3,2,latent_warmstart,0.07950766683898358,6,6,2.6651241779327393
mediator-9x2,500,3,3,latent_random,0.05278556507543897,0,6,2.6106433868408203
mediator-9x2,500,3,3,latent_warmstart,0.0867139794728633,6,6,2.653393507003784
mediator-9x2,500,3,4,latent_random,0.04783889564853716,2,6,2.7306787967681885
mediator-9x2,500,3,4,latent_warmstart,0.0755013952812238,6,6,2.649580955505371
mediator-9x2,500,4,0,obs_only_dagma,0.5582121196063294,nan,6,1.1174471378326416
mediator-9x2,500,4,0,latent_random,0.06852332273289008,nan,6,2.609565258026123
mediator-9x2,500,4,0,latent_warmstart,0.06852332273289008,nan,6,2.621307134628296
mediator-9x2,500,4,1,latent_random,0.05815473179331221,nan,6,2.649897813796997
mediator-9x2,500,4,1,latent_warmstart,0.1394814830994875,nan,6,2.628570556640625
mediator-9x2,500,4,2,latent_random,0.08561738355416715,6,6,2.6634879112243652
mediator-9x2,500,4,2,latent_warmstart,0.10552573606249638,6,6,2.7026054859161377
mediator-9x2,500,4,3,latent_random,0.06901080269657456,2,6,2.6610913276672363
mediator-9x2,500,4,3,latent_warmstart,0.0882847800118558,6,6,2.6551194190979004
mediator-9x2,500,4,4,latent_random,0.06162293364201865,3,6,2.7218215465545654
mediator-9x2,500,4,4,latent_warmstart,0.09061534148474415,6,6,2.6719329357147217
mediator-9x2,500,5,0,obs_only_dagma,0.6019408424240176,nan,6,1.028562068939209
mediator-9x2,500,5,0,latent_random,0.055993959923087644,nan,6,2.645948648452759
mediator-9x2,500,5,0,latent_warmstart,0.055993959923087644,nan,6,2.680297374725342
mediator-9x2,500,5,1,latent_random,0.06372526071173645,nan,6,2.6844582557678223
mediator-9x2,500,5,1,latent_warmstart,0.06069310158574304,nan,6,2.7792205810546875
mediator-9x2,500,5,2,latent_random,0.05799112027918696,0,6,2.839876413345337
mediator-9x2,500,5,2,latent_warmstart,0.07585435763534498,6,6,3.2652289867401123
mediator-9x2,500,5,3,latent_random,0.05142743438057629,1,6,2.8593451976776123
mediator-9x2,500,5,3,latent_warmstart,0.06169290087825985,6,6,2.6873505115509033
mediator-9x2,500,5,4,latent_random,0.055556416446540524,2,6,2.734325408935547
mediator-9x2,500,5,4,latent_warmstart,0.07074486127689461,6,6,2.688690185546875
mediator-9x2,500,6,0,obs_only_dagma,0.49187094127946906,nan,6,1.0146749019622803
mediator-9x2,500,6,0,latent_random,0.07735814549705822,nan,6,2.7038090229034424
mediator-9x2,500,6,0,latent_warmstart,0.07735814549705822,nan,6,2.6870346069335938
mediator-9x2,500,6,1,latent_random,0.0749769630295134,nan,6,2.6874167919158936
mediator-9x2,500,6,1,latent_warmstart,0.0874449809886535,nan,6,2.671501874923706
mediator-9x2,500,6,2,latent_random,0.0870123729326604,2,6,2.687572956085205
mediator-9x2,500,6,2,latent_warmstart,0.0927965811564544,6,6,2.7817318439483643
mediator-9x2,500,6,3,latent_random,0.07189659921643177,3,6,2.6562063694000244
mediator-9x2,500,6,3,latent_warmstart,0.08124760232444572,6,6,2.6718029975891113
mediator-9x2,500,6,4,latent_random,0.08103564156937537,6,6,2.7184560298919678
mediator-9x2,500,6,4,latent_warmstart,0.08817779967490935,6,6,2.6740949153900146
mediator-9x2,500,7,0,obs_only_dagma,0.41206646245030143,nan,6,0.9947996139526367
mediator-9x2,500,7,0,latent_random,0.06704713996940548,nan,6,2.624500036239624
mediator-9x2,500,7,0,latent_warmstart,0.06704713996940548,nan,6,2.6443257331848145
mediator-9x2,500,7,1,latent_random,0.0673958849705496,nan,6,2.750577449798584
mediator-9x2,500,7,1,latent_warmstart,0.06674605438121084,nan,6,2.8715686798095703
mediator-9x2,500,7,2,latent_random,0.06251652788669304,2,6,2.753150701522827
mediator-9x2,500,7,2,latent_warmstart,0.08387180601861033,6,6,2.761888265609741
mediator-9x2,500,7,3,latent_random,0.05421425160538362,1,6,2.7347395420074463
mediator-9x2,500,7,3,latent_warmstart,0.08097799142330331,6,6,2.6633238792419434
mediator-9x2,500,7,4,latent_random,0.05871919457725028,6,6,2.746946334838867
