method,n,seed,n_confounded_pairs,shd_obs,precision_obs,recall_obs,spurious_confounder_edges,shd_full,precision_full,recall_full,latent_parent_recoveries
notears_obs,200,0,13,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
dagma_obs,200,0,13,6,0.4,1.0,6,nan,nan,nan,nan
notears_obs_warmstart,200,0,13,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
dagma_obs_warmstart,200,0,13,6,0.4,1.0,6,nan,nan,nan,nan
notears_latent_single,200,0,13,6,0.4,1.0,5,17,0.36363636363636365,0.2857142857142857,0
dagma_latent_single,200,0,13,6,0.4,1.0,5,16,0.4,0.2857142857142857,0
notears_latent_stable,200,0,13,7,0.36363636363636365,1.0,6,17,0.36363636363636365,0.2857142857142857,0
dagma_latent_stable,200,0,13,6,0.4,1.0,4,16,0.4,0.2857142857142857,0
dagma_latent_warmstart,200,0,13,4,0.5,1.0,2,10,0.5909090909090909,0.9285714285714286,13
notears_latent_warmstart,200,0,13,5,0.2857142857142857,0.5,2,11,0.5263157894736842,0.7142857142857143,13
dagma_latent_symL1,200,0,13,6,0.4,1.0,5,16,0.4,0.2857142857142857,0
oracle_dagma,200,0,13,0,1.0,1.0,0,0,1.0,1.0,13
notears_obs,200,1,10,6,0.25,0.6666666666666666,4,nan,nan,nan,nan
dagma_obs,200,1,10,7,0.2222222222222222,0.6666666666666666,5,nan,nan,nan,nan
notears_obs_warmstart,200,1,10,6,0.25,0.6666666666666666,4,nan,nan,nan,nan
dagma_obs_warmstart,200,1,10,7,0.2222222222222222,0.6666666666666666,5,nan,nan,nan,nan
notears_latent_single,200,1,10,9,0.25,1.0,5,20,0.21428571428571427,0.25,0
dagma_latent_single,200,1,10,10,0.18181818181818182,0.6666666666666666,5,20,0.15384615384615385,0.16666666666666666,0
notears_latent_stable,200,1,10,10,0.16666666666666666,0.6666666666666666,5,18,0.23076923076923078,0.25,0
dagma_latent_stable,200,1,10,8,0.2,0.6666666666666666,4,18,0.18181818181818182,0.16666666666666666,0
dagma_latent_warmstart,200,1,10,1,1.0,0.6666666666666666,0,11,0.5555555555555556,0.4166666666666667,10
notears_latent_warmstart,200,1,10,1,1.0,0.6666666666666666,0,6,0.8,0.6666666666666666,10
dagma_latent_symL1,200,1,10,10,0.18181818181818182,0.6666666666666666,5,20,0.15384615384615385,0.16666666666666666,0
oracle_dagma,200,1,10,0,1.0,1.0,0,0,1.0,1.0,10
notears_obs,200,2,16,9,0.1,1.0,8,nan,nan,nan,nan
dagma_obs,200,2,16,8,0.1111111111111111,1.0,8,nan,nan,nan,nan
notears_obs_warmstart,200,2,16,9,0.1,1.0,8,nan,nan,nan,nan
dagma_obs_warmstart,200,2,16,8,0.1111111111111111,1.0,8,nan,nan,nan,nan
notears_latent_single,200,2,16,6,0.14285714285714285,1.0,6,14,0.3333333333333333,0.4,4
dagma_latent_single,200,2,16,6,0.14285714285714285,1.0,6,14,0.3333333333333333,0.4,4
notears_latent_stable,200,2,16,9,0.1,1.0,9,18,0.1,0.1,0
dagma_latent_stable,200,2,16,7,0.125,1.0,7,16,0.125,0.1,0
dagma_latent_warmstart,200,2,16,2,0.3333333333333333,1.0,2,12,0.4375,0.7,16
notears_latent_warmstart,200,2,16,2,0.3333333333333333,1.0,2,6,0.6428571428571429,0.9,16
dagma_latent_symL1,200,2,16,4,0.2,1.0,4,10,0.5,0.4,4
oracle_dagma,200,2,16,0,1.0,1.0,0,0,1.0,1.0,16
notears_obs,200,3,14,8,0.125,0.5,7,nan,nan,nan,nan
dagma_obs,200,3,14,10,0.1,0.5,9,nan,nan,nan,nan
notears_obs_warmstart,200,3,14,8,0.125,0.5,7,nan,nan,nan,nan
dagma_obs_warmstart,200,3,14,10,0.1,0.5,9,nan,nan,nan,nan
